Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image
Temple of Leah,"Roosevelt Street Busay, Cebu City 6000 Philippines",0,100,,,7:00:00,18:00:00,10.36914746,123.8734036,1,0,0,1,0,0,1,"/location_images/Temple_of_Leah/Temple_of_Leah.jpg,/location_images/Temple_of_Leah/Temple_of_Leah_6KTubzg.jpg"
Cebu Taoist Temple,"Beverly Hills, Cebu City 6000 Philippines",0,0,,,8:00:00,17:00:00,10.33424816,123.8879844,1,0,1,1,0,0,0,"/location_images/Cebu_Taoist_Temple/Cebu_Taoist_Temple.jpg,/location_images/Cebu_Taoist_Temple/Cebu_Taoist_Temple_meMvDcI.jpg,/location_images/Cebu_Taoist_Temple/Cebu_Taoist_Temple_dxv3W1H.jpg"
Mactan Shrine,"Lapu-Lapu City, Cebu",0,0,,,5:00:00,22:00:00,10.31086995,124.0152303,1,0,0,0,0,0,1,"/location_images/Mactan_Shrine/Mactan_Shrine.jpg,/location_images/Mactan_Shrine/Mactan_Shrine_Ny1GwDc.jpg"
Magellan's Cross,"P. Burgos St., Cebu City, Cebu",0,0,,,8:00:00,18:00:00,10.29352076,123.9019409,1,0,0,0,0,0,1,"/location_images/Magellan's_Cross/Magellans_Cross.jpg,/location_images/Magellan's_Cross/Magellans_Cross_SMjHdmm.jpg,/location_images/Magellan's_Cross/Magellans_Cross_S8KQCKw.jpg"
Basilica Minore Del Santo Nino,"Osmena Boulevard, Cebu City, Cebu",0,0,,,6:00:00,19:00:00,10.29406702,123.9021057,1,0,1,0,0,0,1,"/location_images/Basilica_Minore_Del_Santo_Nino/Basilica_Minore_Del_Santo_Nino.jpg,/location_images/Basilica_Minore_Del_Santo_Nino/Basilica_Minore_Del_Santo_Nino_mtnVMnh.jpg,/location_images/Basilica_Minore_Del_Santo_Nino/Basilica_Minore_Del_Santo_Nino_XMqOcQv.jpg"
Fort San Pedro,"A. Pigafetta Street, Cebu City, Cebu",0,30,,,8:00:00,17:00:00,10.29245509,123.9056361,1,0,0,0,0,0,0,"/location_images/Fort_San_Pedro/Fort_San_Pedro.jpg,/location_images/Fort_San_Pedro/Fort_San_Pedro_ebhXqzm.jpg"
Upside Down World,"2nd Floor Unit A 204-205-206 City Time Square Phase 2 Mantawi Int'l Drive, Tipolo, Mandaue City, Cebu",1,250,,,10:00:00,21:00:00,10.32674003,123.9334251,0,0,0,1,0,1,0,"/location_images/Upside_Down_World/Upside_Down_World.jpg,/location_images/Upside_Down_World/Upside_Down_World_CSVlZ3W.jpg"
Casa Gorordo Museum,"35 Eduardo Aboitiz St, Cebu City, 6000 Cebu",0,,50,150,9:00:00,17:00:00,10.29976554,123.9048913,1,0,0,0,0,0,1,"/location_images/Casa_Gorordo_Museum/Casa_Gorordo_Museum.png,/location_images/Casa_Gorordo_Museum/Casa_Gorordo_Museum.jpg"
Cebu Provincial Museum,"731 M. J. Cuenco Ave, Cebu City, 6000 Cebu",0,,10,75,10:00:00,15:00:00,10.30379163,123.9064319,1,0,0,0,0,0,1,"/location_images/Cebu_Provincial_Museum/Cebu_Provincial_Museum.jpg,/location_images/Cebu_Provincial_Museum/Cebu_Provincial_Museum_uCAozoh.jpg"
Jesuit House Museum,"26 Zulueta St, Cebu City, 6000 Cebu",0,50,,,8:00:00,17:00:00,10.29866874,123.9040431,1,0,1,0,0,0,0,/location_images/Jesuit_House_Museum/Jesuit_House_Museum.jpg
Yap-San Diego Ancestral House,"155 Mabini St, Cebu City, 6000 Cebu",0,,50,100,9:00:00,19:00:00,10.29927053,123.9039525,1,0,0,0,0,0,0,"/location_images/Yap-San_Diego_Ancestral_House/Yap-San_Diego_Ancestral_House.jpg,/location_images/Yap-San_Diego_Ancestral_House/Yap-San_Diego_Ancestral_House_99F6WSP.jpg,/location_images/Yap-San_Diego_Ancestral_House/Yap-San_Diego_Ancestral_House_qkWA53W.jpg"
Island Eco Tourism Park,"Sabang, Asinan, Lapu-Lapu City, 6015 Cebu",0,,20,260,0:00:00,23:59:59,10.24823498,124.048425,0,0,0,0,1,1,0,"/location_images/Island_Eco_Tourism_Park/Island_Eco_Tourism_Park.JPG,/location_images/Island_Eco_Tourism_Park/Island_Eco_Tourism_Park_h2z9OYk.JPG"
Halad Museum,"J and J Building, Dionisio Jakosalem Street corner V. Gullas Street, Cebu City, Cebu ",1,10,,,9:00:00,17:00:00,10.29703306,123.9020852,1,0,0,1,0,0,1,"/location_images/Halad_Museum/Halad_Museum.jpg,/location_images/Halad_Museum/Halad_Museum_LUUZdEa.jpg"
BPI Museum,"P. Burgos Street, Inside BPI bank, Cebu City, PH 6000",0,0,,,9:00:00,16:00:00,10.29358104,123.9025823,1,0,0,0,0,0,0,"/location_images/BPI_Museum/BPI_Museum.jpg,/location_images/BPI_Museum/BPI_Museum.jpeg"
Jumalon Butterfly Sanctuary And Art Gallery,"J.N. Jumalon Street, Cebu City 6000 Philippines",0,,50,100,9:00:00,17:00:00,10.29065716,123.8644892,0,1,0,1,0,0,0,"/location_images/Jumalon_Butterfly_Sanctuary_And_Art_Gallery/Jumalon_Butterfly_Sanctuary__wN8tuzl.jpg,/location_images/Jumalon_Butterfly_Sanctuary_And_Art_Gallery/Jumalon_Butterfly_Sanctuary__aUkGspC.jpg"
Heritage of Cebu Monument,"Sikatuna St, Cebu City, 6000 Cebu",0,0,,,0:00:00,0:00:00,10.29887189,123.9036403,1,0,0,0,0,0,0,"/location_images/Heritage_of_Cebu_Monument/Heritage_of_Cebu_Monument.jpg,/location_images/Heritage_of_Cebu_Monument/Heritage_of_Cebu_Monument_qg6m2I0.jpg"
Kabang Falls (Budlaan Falls),"Apas, Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.38679093,123.8834885,0,1,0,0,0,0,0,/location_images/Kabang_Falls_(Budlaan_Falls)/Kabang_Falls_Budlaan_Falls.jpg
