Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Expected Duration,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image,,,,,Description
Temple of Leah,"Roosevelt Street Busay, Cebu City 6000 Philippines",0,100,,,7:00:00,18:00:00,10.36914746,123.8734036,1-2 hours,1,0,0,1,0,0,1,"/location_images/Temple_of_Leah/Temple_of_Leah.jpg,/location_images/Temple_of_Leah/Temple_of_Leah_6KTubzg.jpg",,,,,"The Temple of Leah, located in Cebu, Philippines, is a magnificent and unique architectural marvel. Built as a symbol of undying love and devotion, it is often referred to as the ""Taj Mahal of Cebu."" This grandiose temple was constructed in 2012 by Teodorico Adarna, a wealthy businessman, in honor of his late wife, Leah Villa Albino-Adarna. Perched on a hill in the Busay district overlooking the city of Cebu, the Temple of Leah boasts Greco-Roman architecture with striking columns, statues, and intricate detailing."
Cebu Taoist Temple,"Beverly Hills, Cebu City 6000 Philippines",0,0,,,8:00:00,17:00:00,10.33424816,123.8879844,1-2 hours,1,0,1,1,0,0,0,"/location_images/Cebu_Taoist_Temple/Cebu_Taoist_Temple.jpg,/location_images/Cebu_Taoist_Temple/Cebu_Taoist_Temple_meMvDcI.jpg,/location_images/Cebu_Taoist_Temple/Cebu_Taoist_Temple_dxv3W1H.jpg",,,,,"The Cebu Cebu Taoist Temple, situated in the Beverly Hills Subdivision of Cebu City, Philippines, is a fascinating religious and cultural landmark. This serene and visually striking temple was built by Cebu's Chinese community and is dedicated to the teachings of Taoism, an ancient Chinese philosophical and religious tradition.

Visitors to the Cebu Cebu Taoist Temple are welcomed by a majestic entrance gate adorned with intricate Chinese symbols and designs. The temple itself is an architectural marvel, featuring vibrant colors, dragon motifs, and ornate details that evoke the rich heritage of Chinese culture."
Mactan Shrine,"Lapu-Lapu City, Cebu",0,0,,,5:00:00,22:00:00,10.31086995,124.0152303,1-2 hours,1,0,0,0,0,0,1,"/location_images/Mactan_Shrine/Mactan_Shrine.jpg,/location_images/Mactan_Shrine/Mactan_Shrine_Ny1GwDc.jpg",,,,,"The Mactan Shrine is a historical and cultural landmark located on Mactan Island in Cebu, Philippines. It commemorates the Battle of Mactan, which took place on April 27, 1521, and is famous for the clash between the Spanish explorer Ferdinand Magellan and the native chieftain Lapu-Lapu.

The shrine features several significant elements, including a larger-than-life statue of Lapu-Lapu, who is celebrated as a national hero for his resistance against foreign colonization. Visitors can also explore a mural depicting the battle, an observation deck offering views of nearby islands and the Mactan Channel, and a museum that provides insights into the history and culture of the region."
Magellan's Cross,"P. Burgos St., Cebu City, Cebu",0,0,,,8:00:00,18:00:00,10.29352076,123.9019409,1 hour,1,0,0,0,0,0,1,"/location_images/Magellan's_Cross/Magellans_Cross.jpg,/location_images/Magellan's_Cross/Magellans_Cross_SMjHdmm.jpg,/location_images/Magellan's_Cross/Magellans_Cross_S8KQCKw.jpg",,,,,"Magellan's Cross,  is a significant historical and cultural relic that symbolizes the arrival of Spanish explorer Ferdinand Magellan in the Philippines in 1521. The cross is housed in a small chapel near Cebu City Hall and is made of tindalo wood encased in hollowed-out tindalo tree trunk.

This iconic wooden cross is said to have been planted by Magellan himself as a symbol of the introduction of Christianity to the Philippines, making it a cornerstone of the country's Christian history. The chapel surrounding the cross is a popular tourist destination and a place of reverence for many Filipinos."
Basilica Minore Del Santo Nino,"Osmena Boulevard, Cebu City, Cebu",0,0,,,6:00:00,19:00:00,10.29406702,123.9021057,1-2 hours,1,0,1,0,0,0,1,"/location_images/Basilica_Minore_Del_Santo_Nino/Basilica_Minore_Del_Santo_Nino.jpg,/location_images/Basilica_Minore_Del_Santo_Nino/Basilica_Minore_Del_Santo_Nino_mtnVMnh.jpg,/location_images/Basilica_Minore_Del_Santo_Nino/Basilica_Minore_Del_Santo_Nino_XMqOcQv.jpg",,,,,"The Basilica Minore del Santo Niño , is one of the country's most revered and historic religious sites. It is considered the oldest Roman Catholic church in the Philippines, with its origins dating back to the early 16th century.

The basilica is closely associated with the Santo Niño de Cebu, a statue of the Child Jesus, which was a gift from Ferdinand Magellan to Rajah Humabon's wife, Queen Juana, during Magellan's arrival in Cebu in 1521. The image is enshrined in the basilica and is venerated by millions of devotees from all over the Philippines and beyond.

The Basilica Minore del Santo Niño is an architectural masterpiece, showcasing a blend of Spanish colonial and Filipino design elements."
Fort San Pedro,"A. Pigafetta Street, Cebu City, Cebu",0,30,,,8:00:00,17:00:00,10.29245509,123.9056361,1-2 hours,1,0,0,0,0,0,0,"/location_images/Fort_San_Pedro/Fort_San_Pedro.jpg,/location_images/Fort_San_Pedro/Fort_San_Pedro_ebhXqzm.jpg",,,,,"Fort San Pedro, is a historical military fortification with roots dating back to the Spanish colonial period. It is recognized as the oldest triangular bastion fort in the country, and it played a significant role in Philippine history.

Built by Spanish conquistadors in 1565 under the command of Miguel López de Legazpi, Fort San Pedro was initially constructed as a defensive structure against local indigenous forces and Muslim raiders. The fort features sturdy stone walls, cannons, and a central courtyard. Over the centuries, it served various purposes, including as a military fortress, a prison during the American colonial period, and eventually as a historical park and museum."
Upside Down World,"2nd Floor Unit A 204-205-206 City Time Square Phase 2 Mantawi Int'l Drive, Tipolo, Mandaue City, Cebu",1,250,,,10:00:00,21:00:00,10.32674003,123.9334251,1-2 hours,0,0,0,1,0,1,0,"/location_images/Upside_Down_World/Upside_Down_World.jpg,/location_images/Upside_Down_World/Upside_Down_World_CSVlZ3W.jpg",,,,,"Upside Down World in Cebu is a captivating and whimsical attraction that defies gravity and sparks creativity. Inside this playful venue, visitors step into rooms where everything is deliberately placed upside down – from furniture to household items. It's a surreal experience that invites guests to let their imagination run wild as they interact with the topsy-turvy environment, making for delightful and gravity-defying photo opportunities. Upside Down World is a fun-filled destination that promises laughter and wonder, perfect for families, friends, and anyone looking to capture memorable and mind-bending snapshots."
Casa Gorordo Museum,"35 Eduardo Aboitiz St, Cebu City, 6000 Cebu",0,,50,150,9:00:00,17:00:00,10.29976554,123.9048913,1-2 hours,1,0,0,0,0,0,1,"/location_images/Casa_Gorordo_Museum/Casa_Gorordo_Museum.png,/location_images/Casa_Gorordo_Museum/Casa_Gorordo_Museum.jpg",,,,,"Casa Gorordo Museum in Cebu City is a captivating journey back in time to the 19th century. This beautifully preserved ancestral house provides a window into the lives of a prosperous Filipino family during the Spanish colonial era. Inside, meticulously arranged rooms showcase antique furniture, household items, traditional clothing, and religious artifacts, offering valuable insights into Cebu's rich history and cultural heritage. The museum's architecture and ambiance immerse visitors in the elegance and opulence of a bygone era, making it a must-visit destination for history enthusiasts and those eager to explore Cebu's colonial past."
Cebu Provincial Museum,"731 M. J. Cuenco Ave, Cebu City, 6000 Cebu",0,,10,75,10:00:00,15:00:00,10.30379163,123.9064319,1-2 hours,1,0,0,0,0,0,1,"/location_images/Cebu_Provincial_Museum/Cebu_Provincial_Museum.jpg,/location_images/Cebu_Provincial_Museum/Cebu_Provincial_Museum_uCAozoh.jpg",,,,,"The Cebu Provincial Museum is a cultural treasure trove nestled in the heart of Cebu City. It serves as a captivating repository of the region's rich history and heritage, offering visitors an enlightening journey through time. The museum's diverse collection includes archaeological artifacts, religious relics, and ethnographic displays, providing a comprehensive overview of Cebu's cultural tapestry. As you explore its halls, you'll gain a deeper understanding of the Philippines' fascinating past and the pivotal role Cebu played in its history.

Housed within a thoughtfully designed space, the Cebu Provincial Museum invites guests to engage with the stories and traditions that have shaped the island's identity. "
Jesuit House Museum,"26 Zulueta St, Cebu City, 6000 Cebu",0,50,,,8:00:00,17:00:00,10.29866874,123.9040431,1 hour,1,0,1,0,0,0,0,/location_images/Jesuit_House_Museum/Jesuit_House_Museum.jpg,,,,,"The Jesuit House Museum, also known as the Museo de Parian, is a historical gem nestled in the heart of Cebu City. Housed in one of the oldest and most beautifully preserved houses in the Philippines, this museum offers visitors a captivating glimpse into Cebu's colonial past. The museum's exhibits focus on Cebu's role in trade and commerce during the Spanish colonial period, showcasing artifacts and displays that provide valuable insights into the island's history. As you explore its well-preserved corridors and rooms, you'll be transported back in time to an era of Spanish influence and thriving cultural exchange. The Jesuit House Museum is a testament to the enduring heritage of Cebu and a must-visit destination for history enthusiasts and cultural explorers."
